BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Imran Khalid,3,0,20,4,6.66,9,1,1.0,1.0,0.0,23
Mohammad Irfan,4,0,25,2,6.25,12,2,1.0,0.0,0.0,24
Imran Khalid,3,0,26,0,8.66,4,4,0.0,0.0,0.0,24
Samuel Badree,4,0,38,1,9.50,8,5,1.0,0.0,0.0,24
Mohammad Sami,4,0,31,1,7.75,9,1,2.0,0.0,0.0,24
Andre Russell,4,0,36,3,9.00,9,3,2.0,0.0,0.0,24
Dwayne Smith,1,0,16,0,16.00,1,2,1.0,0.0,0.0,24
Anwar Ali,2.4,0,29,1,10.87,6,3,2.0,0.0,0.0,24
Nathan McCullum,3,0,24,1,8.00,8,3,1.0,0.0,0.0,24
Aizaz Cheema,4,0,34,1,8.50,7,5,0.0,0.0,0.0,24
Zulfiqar Babar,4,0,41,1,10.25,7,1,4.0,0.0,0.0,24
Mohammad Nawaz,3,0,15,0,5.00,8,0,1.0,0.0,0.0,24
Grant Elliott,2,0,27,0,13.50,4,1,3.0,0.0,0.0,24
Mohammad Irfan,4,0,27,2,6.75,14,2,2.0,0.0,0.0,25
Mohammad Sami,4,0,16,2,4.00,15,2,0.0,0.0,0.0,25
Shane Watson,4,0,44,4,11.00,7,3,2.0,4.0,0.0,25
Saeed Ajmal,4,0,44,1,11.00,6,2,4.0,0.0,0.0,25
Imran Khalid,2,0,23,0,11.50,2,1,2.0,0.0,0.0,25
Amad Butt,2,0,25,0,12.50,1,2,1.0,0.0,0.0,25
Junaid Khan,4,0,52,1,13.00,8,6,3.0,1.0,1.0,25
Hasan Ali,4,0,33,1,8.25,8,3,1.0,0.0,1.0,25
Chris Jordan,3.4,0,30,1,8.18,7,4,0.0,2.0,0.0,25
Shahid Afridi,3,0,29,0,9.66,6,3,1.0,2.0,0.0,25
Daren Sammy,3,0,25,0,8.33,8,3,1.0,0.0,0.0,25
Sohail Tanvir,4,0,24,2,6.00,8,2,0.0,0.0,0.0,26
Mohammad Irfan,4,0,26,3,6.50,11,1,1.0,1.0,0.0,26
Sunil Narine,4,0,16,2,4.00,12,1,0.0,1.0,0.0,26
Bilawal Bhatti,2,0,17,0,8.50,3,1,0.0,1.0,0.0,26
Yasir Shah,4,0,32,1,8.00,7,3,1.0,1.0,0.0,26
Grant Elliott,2,0,19,0,9.50,2,1,1.0,0.0,0.0,26
Zulfiqar Babar,4,0,31,2,7.75,12,3,2.0,0.0,0.0,26
Tymal Mills,4,0,31,1,7.75,12,4,1.0,1.0,0.0,26
Anwar Ali,1,0,8,1,8.00,2,1,0.0,0.0,0.0,26
Mohammad Nawaz,4,0,19,2,4.75,11,0,1.0,0.0,0.0,26
Hassan Khan,2.4,0,10,2,3.75,6,0,0.0,0.0,0.0,26
Thisara Perera,3,0,27,0,9.00,3,2,1.0,0.0,0.0,26
Mohammad Hafeez,3,0,7,2,2.33,12,0,0.0,0.0,0.0,27
Hasan Ali,3,0,26,1,8.66,5,3,0.0,0.0,0.0,27
Chris Jordan,3,0,21,1,7.00,8,2,1.0,0.0,0.0,27
Shahid Afridi,4,0,16,0,4.00,9,0,0.0,0.0,0.0,27
Wahab Riaz,4,0,23,2,5.75,12,3,0.0,1.0,0.0,27
Mohammad Asghar,3,0,23,1,7.66,6,0,2.0,0.0,0.0,27
Mohammad Amir,4,1,22,1,5.50,15,4,0.0,0.0,0.0,27
Sohail Khan,3.3,0,20,1,5.71,13,3,0.0,1.0,0.0,27
Shoaib Malik,4,0,41,0,10.25,7,5,1.0,1.0,0.0,27
Imad Wasim,3,0,13,1,4.33,10,0,1.0,0.0,0.0,27
Abrar Ahmed,4,0,22,0,5.50,10,0,1.0,0.0,0.0,27
Sohail Tanvir,4,0,31,1,7.75,10,1,2.0,1.0,1.0,28
Mohammad Irfan,3,0,30,0,10.00,7,4,1.0,0.0,1.0,28
Bilawal Bhatti,4,0,15,0,3.75,14,0,1.0,0.0,0.0,28
Sunil Narine,4,0,39,1,9.75,4,4,1.0,0.0,0.0,28
Yasir Shah,2,0,15,0,7.50,2,1,0.0,0.0,0.0,28
Grant Elliott,3,0,23,4,7.66,6,2,1.0,0.0,0.0,28
Imran Khalid,1,0,21,0,21.00,1,3,1.0,2.0,0.0,28
Mohammad Sami,4,0,25,1,6.25,14,4,0.0,0.0,1.0,28
Rumman Raees,3.2,0,19,1,5.70,9,2,0.0,0.0,0.0,28
Shane Watson,4,0,40,1,10.00,8,2,3.0,2.0,0.0,28
Shadab Khan,2,0,21,0,10.50,2,3,0.0,0.0,0.0,28
Saeed Ajmal,4,0,33,1,8.25,8,2,2.0,0.0,0.0,28
Anwar Ali,4,0,37,0,9.25,9,4,1.0,1.0,0.0,29
Tymal Mills,4,0,21,2,5.25,13,3,0.0,0.0,0.0,29
Zulfiqar Babar,4,0,25,0,6.25,5,2,0.0,0.0,0.0,29
Thisara Perera,4,0,34,3,8.50,7,3,1.0,0.0,0.0,29
Hassan Khan,2,0,14,0,7.00,1,1,0.0,0.0,0.0,29
Mohammad Nawaz,2,0,27,1,13.50,3,1,3.0,0.0,0.0,29
Mohammad Amir,4,0,27,0,6.75,10,3,0.0,1.0,0.0,29
Imad Wasim,3,0,27,0,9.00,7,1,2.0,1.0,0.0,29
Sohail Khan,4,0,23,3,5.75,13,2,1.0,0.0,0.0,29
Abrar Ahmed,2,0,19,0,9.50,3,3,0.0,0.0,0.0,29
Ravi Bopara,4,0,30,0,7.50,5,2,0.0,1.0,0.0,29
Kieron Pollard,1.1,0,23,0,19.71,1,2,2.0,0.0,1.0,29
Shoaib Malik,1,0,9,0,9.00,1,1,0.0,0.0,0.0,29
