BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Hassan Khan,2,0,9,0,4.50,5,0,0,0,0,65
Sohail Tanvir,4,0,37,0,9.25,12,6,0,1,0,65
Mohammad Irfan,4,0,32,0,8.00,11,4,1,0,1,65
Imran Tahir,4,0,24,1,6.00,8,2,0,0,0,65
Umar Gul,4,0,24,6,6.00,13,1,2,0,0,65
Shoaib Malik,2,0,18,1,9.00,3,1,1,0,0,65
Kieron Pollard,1.5,0,21,0,11.45,4,1,1,0,1,65
Jean-Paul Duminy,4,0,38,1,9.50,9,2,2,2,0,66
Samit Patel,1,0,10,0,10.00,2,0,1,0,0,66
Mohammad Sami,4,0,36,1,9.00,9,3,2,0,0,66
Steven Finn,3,0,31,0,10.33,4,2,1,3,0,66
Faheem Ashraf,4,0,32,3,8.00,6,1,2,1,0,66
Shadab Khan,4,0,15,1,3.75,12,1,0,0,0,66
Fakhar Zaman,2,0,21,0,10.50,4,1,2,0,0,66
Sohail Khan,3,0,29,0,9.66,7,5,0,2,0,66
Yasir Shah,4,0,26,0,6.50,14,3,1,0,1,66
Sunil Narine,4,0,28,3,7.00,12,0,3,1,0,66
Imran Khan,2.4,0,24,1,9.00,3,0,2,0,0,66
Aamer Yamin,1,0,16,0,16.00,0,0,1,1,0,66
Salman Irshad,1,0,18,0,18.00,0,0,2,0,1,66
Imad Wasim,2,0,25,0,12.50,6,1,3,0,0,67
Mohammad Amir,4,0,29,1,7.25,8,2,1,1,0,67
Usman Shinwari,4,0,22,1,5.50,8,2,0,0,0,67
Mohammad Irfan,3,0,41,1,13.66,4,4,3,0,0,67
Shahid Afridi,4,0,29,1,7.25,8,4,0,0,0,67
David Wiese,3,0,33,0,11.00,4,3,2,0,0,67
Mohammad Nawaz,4,0,17,1,4.25,12,1,0,0,0,67
Rahat Ali,4,0,29,2,7.25,14,4,1,1,0,67
Hassan Khan,4,0,19,1,4.75,11,0,1,0,0,67
Ben Laughlin,2,0,9,1,4.50,5,0,0,0,0,67
Anwar Ali,3,0,21,2,7.00,6,2,0,1,0,67
Shane Watson,3,0,18,1,6.00,3,0,0,0,0,67
Agha Salman,1,0,5,0,5.00,4,1,0,0,0,68
Sohail Khan,3,0,28,1,9.33,8,4,1,0,0,68
Sunil Narine,4,0,16,2,4.00,12,1,0,0,0,68
Yasir Shah,4,0,27,0,6.75,10,2,1,0,0,68
Mitchell McClenaghan,4,0,31,1,7.75,9,5,0,1,0,68
Shaheen Shah Afridi,3.4,1,4,5,1.09,18,0,0,0,0,68
Sohail Tanvir,3.4,0,29,0,7.90,9,3,1,0,0,68
Mohammad Irfan,4,1,20,1,5.00,16,4,0,0,0,68
Shoaib Malik,1,0,6,1,6.00,3,1,0,0,0,68
Imran Tahir,4,0,26,1,6.50,10,3,0,0,0,68
Junaid Khan,4,0,19,0,4.75,13,2,0,0,0,68
Saif Badar,2,0,15,1,7.50,5,0,1,1,0,68
Hasan Ali,4,0,35,0,8.75,8,4,1,0,0,69
Umaid Asif,4,0,34,0,8.50,11,3,2,1,0,69
Liam Dawson,4,0,36,0,9.00,8,1,3,1,0,69
Wahab Riaz,4,0,30,3,7.50,12,4,1,0,0,69
Ibtisam Sheikh,3,0,31,0,10.33,5,2,2,1,0,69
Dwayne Smith,1,0,12,0,12.00,0,2,0,0,0,69
Mohammad Sami,4,0,29,0,7.25,10,4,0,0,1,69
Steven Finn,2,0,23,0,11.50,5,3,1,2,0,69
Samit Patel,4,0,34,4,8.50,10,1,3,0,0,69
Faheem Ashraf,2,0,17,1,8.50,5,3,0,1,0,69
Shadab Khan,4,0,21,1,5.25,11,2,0,1,0,69
Zafar Gohar,4,0,25,3,6.25,14,1,2,0,0,69
Sohail Tanvir,4,0,29,0,7.25,11,2,1,3,0,70
Mohammad Irfan,4,0,21,1,5.25,11,2,0,0,0,70
Junaid Khan,3,0,31,0,10.33,4,4,1,0,0,70
Imran Tahir,3,0,27,0,9.00,2,2,1,0,0,70
Hardus Viljoen,4,0,49,2,12.25,9,6,2,1,0,70
Kieron Pollard,2,0,24,0,12.00,1,0,2,0,0,70
Imad Wasim,4,0,22,1,5.50,12,1,1,0,0,70
Mohammad Amir,4,0,26,1,6.50,12,1,2,0,0,70
Usman Shinwari,2.4,0,23,1,8.62,9,2,2,0,0,70
Mohammad Irfan,3,0,18,2,6.00,13,2,1,0,1,70
Shahid Afridi,4,1,18,3,4.50,16,1,1,1,0,70
Joe Denly,2,0,15,0,7.50,7,0,2,0,0,70
Mohammad Nawaz,4,0,38,1,9.50,11,3,3,0,0,71
Anwar Ali,2,0,6,0,3.00,7,0,0,0,0,71
Ben Laughlin,4,0,33,1,8.25,7,2,2,0,0,71
Hassan Khan,2,0,21,0,10.50,4,1,2,0,0,71
Rahat Ali,4,0,30,1,7.50,10,3,1,1,0,71
Shane Watson,4,0,26,2,6.50,11,1,2,0,0,71
Liam Dawson,4,0,38,1,9.50,10,3,3,0,0,71
Umaid Asif,4,0,26,1,6.50,7,2,0,1,0,71
Hasan Ali,4,0,25,1,6.25,8,2,0,0,0,71
Wahab Riaz,4,0,26,1,6.50,12,4,0,0,0,71
Mohammad Asghar,3,0,32,0,10.66,3,4,1,0,0,71
Dwayne Smith,0.2,0,5,0,15.00,0,1,0,0,0,71
Anton Devcich,1,0,12,0,12.00,3,3,0,0,0,72
Sohail Khan,4,0,34,3,8.50,4,2,1,0,0,72
Yasir Shah,3,0,22,1,7.33,7,2,1,0,0,72
Mitchell McClenaghan,4,0,24,0,6.00,9,3,0,0,0,72
Sunil Narine,4,0,22,0,5.50,9,2,0,0,0,72
Shaheen Shah Afridi,4,0,42,1,10.50,7,5,1,1,0,72
Mohammad Amir,4,0,28,1,7.00,9,4,0,1,0,72
Usman Shinwari,4,0,37,2,9.25,11,3,2,0,1,72
Mohammad Irfan,4,0,35,2,8.75,11,3,1,1,1,72
Shahid Afridi,2,0,15,0,7.50,6,1,1,0,0,72
Imad Wasim,4,0,27,1,6.75,6,1,1,0,0,72
Ravi Bopara,2,0,11,0,5.50,3,0,0,1,0,72
Shoaib Malik,1,0,10,0,10.00,2,2,0,0,0,73
Mohammad Irfan,4,0,34,0,8.50,10,2,2,1,1,73
Sohail Tanvir,4,0,37,0,9.25,12,3,3,0,0,73
Imran Tahir,4,0,29,1,7.25,10,4,0,0,0,73
Umar Gul,4,0,26,2,6.50,10,4,0,0,0,73
Ross Whiteley,3,0,45,0,15.00,2,3,3,3,0,73
Samit Patel,2,0,11,2,5.50,7,2,0,0,0,73
Mohammad Sami,4,0,26,1,6.50,10,1,1,2,0,73
Faheem Ashraf,4,1,27,2,6.75,10,2,1,1,0,73
Amad Butt,3.1,0,30,2,9.47,12,1,3,1,0,73
Shadab Khan,4,0,33,2,8.25,9,4,1,0,0,73
Hussain Talat,2,0,21,0,10.50,5,3,1,0,0,73
Anwar Ali,4,0,24,1,6.00,12,3,0,1,1,74
Shane Watson,4,0,50,0,12.50,10,4,4,1,0,74
Rahat Ali,4,0,51,1,12.75,7,4,4,1,0,74
Mir Hamza,4,0,34,1,8.50,5,3,1,0,0,74
Mohammad Nawaz,3,0,22,0,7.33,7,2,1,0,0,74
Hassan Khan,1,0,3,1,3.00,3,0,0,0,0,74
Sohail Khan,4,0,30,0,7.50,8,1,2,1,0,74
Sunil Narine,4,0,22,2,5.50,11,1,1,1,0,74
Yasir Shah,4,0,35,2,8.75,6,0,2,1,0,74
Mitchell McClenaghan,4,0,43,1,10.75,7,3,3,0,0,74
Shaheen Shah Afridi,4,0,37,1,9.25,8,0,4,1,0,74
Mohammad Amir,4,1,33,1,8.25,11,5,1,0,0,75
Usman Shinwari,4,0,11,3,2.75,16,1,0,0,0,75
Mohammad Irfan,3,0,46,0,15.33,7,1,6,0,1,75
Usama Mir,3,0,34,0,11.33,3,1,3,0,0,75
Shahid Afridi,4,0,34,1,8.50,8,1,3,0,0,75
Ravi Bopara,2,0,17,1,8.50,3,1,1,0,0,75
Hasan Ali,4,0,20,1,5.00,12,1,1,0,0,75
Sameen Gul,4,0,43,0,10.75,8,2,4,0,0,75
Wahab Riaz,4,0,26,2,6.50,11,1,2,0,0,75
Liam Dawson,4,0,17,3,4.25,12,0,1,0,0,75
Umaid Asif,4,0,23,2,5.75,7,2,0,0,0,75
Samit Patel,2,0,14,1,7.00,6,1,1,0,0,76
Mohammad Sami,4,0,29,0,7.25,9,2,1,1,0,76
Faheem Ashraf,4,0,19,3,4.75,11,0,1,1,0,76
Amad Butt,4,0,30,2,7.50,8,2,1,1,1,76
Hussain Talat,3,0,29,1,9.66,4,3,1,0,0,76
Shadab Khan,3,0,20,0,6.66,3,0,1,0,0,76
Mohammad Nawaz,2,0,17,0,8.50,7,2,1,1,0,76
Rahat Ali,3.2,0,33,2,9.90,8,3,2,1,0,76
Mir Hamza,4,0,27,1,6.75,8,2,1,0,0,76
Hassan Khan,2,0,15,0,7.50,2,1,0,0,0,76
Shane Watson,4,0,31,1,7.75,8,2,1,3,0,76
Anwar Ali,3,0,26,0,8.66,9,2,2,0,0,76
Hasan Ali,4,0,24,2,6.00,13,1,2,0,0,77
Sameen Gul,4,0,26,1,6.50,11,0,2,2,0,77
Umaid Asif,4,0,41,0,10.25,5,2,3,1,0,77
Wahab Riaz,4,0,32,1,8.00,11,3,2,0,0,77
Liam Dawson,4,0,47,0,11.75,4,2,4,0,0,77
Anton Devcich,1,0,19,0,19.00,2,2,1,2,0,77
Kyle Abbott,3,0,25,1,8.33,8,3,1,1,0,77
Mitchell McClenaghan,4,0,44,0,11.00,8,7,1,1,0,77
Shaheen Shah Afridi,4,0,28,0,7.00,10,3,1,0,0,77
Yasir Shah,4,0,40,2,10.00,11,4,3,0,0,77
Bilal Asif,2,0,19,0,9.50,4,0,2,0,0,77
Mohammad Amir,3,0,14,1,4.66,12,2,0,1,0,78
Usman Shinwari,4,0,17,4,4.25,14,2,0,0,0,78
Mohammad Irfan,4,0,44,2,11.00,9,4,3,0,0,78
Tymal Mills,4,0,26,1,6.50,13,1,2,0,0,78
Shahid Afridi,4,1,18,2,4.50,11,1,0,0,0,78
Zafar Gohar,3,0,21,0,7.00,9,1,1,2,0,78
Amad Butt,2,0,27,0,13.50,4,3,2,0,0,78
Steven Finn,3,0,21,1,7.00,9,2,1,0,0,78
Shadab Khan,4,0,22,1,5.50,10,2,0,1,0,78
Faheem Ashraf,3,0,13,1,4.33,11,2,0,0,0,78
Jean-Paul Duminy,2,0,15,0,7.50,3,1,0,0,0,78
Samit Patel,4,0,23,0,5.75,10,3,0,0,0,79
Mohammad Sami,4,0,20,2,5.00,10,1,0,2,0,79
Faheem Ashraf,4,0,53,1,13.25,3,3,4,0,0,79
Shadab Khan,4,0,24,0,6.00,7,1,0,0,0,79
Amad Butt,2,0,16,1,8.00,5,1,1,0,0,79
Hussain Talat,2,0,16,0,8.00,6,0,2,0,0,79
Mohammad Amir,3,0,30,0,10.00,4,5,0,0,0,79
Usman Shinwari,3.3,0,44,1,12.57,7,3,4,0,0,79
Tymal Mills,2,0,32,1,16.00,5,2,3,2,0,79
Shahid Afridi,3,0,30,0,10.00,4,3,1,1,0,79
Mohammad Irfan,1,0,18,0,18.00,0,4,0,0,0,79
Mohammad Nawaz,4,0,21,1,5.25,13,3,0,1,0,80
Rahat Ali,4,0,16,4,4.00,14,2,0,0,0,80
Mir Hamza,3,0,34,1,11.33,7,6,0,0,0,80
Hassan Khan,4,0,27,1,6.75,10,1,2,0,0,80
Mahmudullah,2,0,20,1,10.00,5,2,1,0,1,80
Anwar Ali,1,0,14,0,14.00,1,3,0,0,0,80
Thisara Perera,2,0,24,2,12.00,5,2,2,1,0,80
Hasan Ali,4,0,21,2,5.25,13,3,0,1,0,80
Sameen Gul,4,0,21,2,5.25,15,2,1,1,0,80
Wahab Riaz,4,0,26,2,6.50,10,2,1,0,0,80
Umaid Asif,4,0,26,2,6.50,12,4,0,2,0,80
Liam Dawson,4,0,52,0,13.00,3,2,5,0,0,80
Mohammad Amir,4,0,16,0,4.00,13,0,0,3,0,81
Usman Shinwari,3,0,48,1,16.00,5,4,4,1,1,81
Tymal Mills,3,0,23,2,7.66,11,2,2,0,0,81
Ravi Bopara,3,0,35,3,11.66,7,3,3,0,0,81
Usama Mir,2,0,29,0,14.50,1,1,3,0,0,81
Danish Aziz,1,0,16,0,16.00,0,0,2,0,0,81
Hasan Ali,4,0,41,1,10.25,9,7,1,0,0,81
Sameen Gul,3,0,20,1,6.66,10,0,2,1,0,81
Chris Jordan,3,0,27,0,9.00,5,2,1,0,0,81
Wahab Riaz,3,0,36,0,12.00,4,5,1,0,1,81
Umaid Asif,3,0,27,0,9.00,4,2,1,1,0,81
Samit Patel,4,0,26,2,6.50,10,4,0,0,0,82
Mohammad Sami,4,0,31,1,7.75,13,3,2,1,0,82
Shadab Khan,4,0,25,3,6.25,11,0,2,0,0,82
Faheem Ashraf,4,0,32,1,8.00,8,3,1,0,0,82
Amad Butt,2,0,13,0,6.50,3,1,0,0,0,82
Hussain Talat,2,0,18,2,9.00,3,1,1,1,0,82
Hasan Ali,4,0,53,2,13.25,10,2,6,2,0,82
Sameen Gul,1,0,9,0,9.00,2,0,1,0,0,82
Liam Dawson,1,0,15,0,15.00,2,2,1,0,0,82
Wahab Riaz,3.5,0,28,2,7.30,13,4,1,0,0,82
Umaid Asif,4,0,26,1,6.50,10,1,0,0,0,82
Chris Jordan,3,0,22,2,7.33,10,2,1,3,0,82
Mohammad Sami,3,0,30,1,10.00,5,3,1,0,0,83
Samit Patel,2,0,19,0,9.50,6,2,1,0,0,83
Waqas Maqsood,4,0,25,1,6.25,8,3,0,0,0,83
Shadab Khan,4,0,34,1,8.50,8,0,3,1,0,83
Faheem Ashraf,4,0,24,2,6.00,11,3,0,0,0,83
Hussain Talat,1,0,20,0,20.00,0,3,1,0,0,83
Cameron Delport,2,0,12,1,6.00,2,0,0,0,0,83
Shaheen Shah Afridi,4,0,45,0,11.25,6,5,2,1,0,83
Rahat Ali,4,0,29,4,7.25,14,2,2,2,0,83
Carlos Brathwaite,2,0,25,1,12.50,5,4,1,1,0,83
Yasir Shah,4,0,30,0,7.50,7,2,1,2,0,83
Mohammad Hafeez,3.2,0,28,0,8.40,5,1,2,0,0,83
Haris Rauf,2,0,17,0,8.50,3,0,1,1,1,83
Mohammad Irfan,3,0,25,0,8.33,5,3,0,1,0,84
Chris Green,4,0,32,3,8.00,8,0,2,2,0,84
Junaid Khan,4,0,40,1,10.00,5,5,1,0,0,84
Shahid Afridi,3,0,25,0,8.33,7,3,1,0,0,84
Andre Russell,3,0,25,1,8.33,3,2,0,0,0,84
Mohammad Ilyas,3,0,33,0,11.00,3,0,3,1,0,84
Imad Wasim,4,0,22,0,5.50,8,2,0,0,0,84
Mohammad Amir,4,0,25,4,6.25,12,1,1,4,0,84
Sohail Khan,4,0,57,2,14.25,6,8,2,1,0,84
Umer Khan,2,0,9,1,4.50,6,1,0,0,0,84
Usman Shinwari,4,0,26,1,6.50,7,2,0,0,0,84
Ravi Bopara,2,0,33,0,16.50,1,5,1,0,0,84
Sohail Tanvir,4,0,36,0,9.00,9,5,1,0,0,85
Mohammad Nawaz,4,0,25,2,6.25,13,1,2,0,0,85
Mohammad Irfan,4,0,27,1,6.75,11,3,1,0,0,85
Ghulam Mudassar,4,0,24,1,6.00,8,1,1,0,0,85
Fawad Ahmed,4,0,38,0,9.50,7,1,3,1,0,85
Hasan Ali,4,0,30,1,7.50,11,4,0,0,0,85
Sameen Gul,4,0,36,0,9.00,8,5,1,0,0,85
Umaid Asif,4,0,42,1,10.50,10,6,2,0,0,85
Wahab Riaz,4,0,18,2,4.50,11,0,1,0,0,85
Liam Dawson,2,0,18,0,9.00,3,2,0,0,0,85
Kieron Pollard,1.4,0,17,0,10.20,2,0,1,0,0,85
Mohammad Irfan,4,0,16,1,4.00,13,0,0,0,1,86
Chris Green,1,0,14,0,14.00,2,0,2,0,0,86
Ali Shafique,4,0,11,2,2.75,14,0,0,0,0,86
Shahid Afridi,4,0,18,2,4.50,11,0,1,0,0,86
Andre Russell,3,0,32,0,10.66,2,1,2,0,0,86
Junaid Khan,4,0,33,2,8.25,7,3,1,0,0,86
Samit Patel,4,0,20,0,5.00,13,1,1,1,0,86
Waqas Maqsood,3.4,0,43,1,11.72,6,3,3,0,0,86
Faheem Ashraf,3,0,12,0,4.00,10,1,0,0,1,86
Shadab Khan,4,0,20,2,5.00,9,1,0,0,0,86
Mohammad Sami,4,0,25,1,6.25,8,1,1,0,0,86
Imad Wasim,4,0,26,0,6.50,7,1,1,1,0,87
Mohammad Amir,4,0,21,1,5.25,8,1,0,0,0,87
Usman Shinwari,2,0,25,0,12.50,1,3,1,0,0,87
Sohail Khan,4,0,29,0,7.25,7,2,1,1,0,87
Umer Khan,4,0,25,2,6.25,8,1,1,0,0,87
Sikandar Raza,2,0,9,1,4.50,4,0,0,0,0,87
Yasir Shah,2,0,11,0,5.50,6,1,0,0,0,87
Shaheen Shah Afridi,4,0,20,2,5.00,14,1,1,0,0,87
Hardus Viljoen,4,0,30,1,7.50,8,2,1,2,0,87
Rahat Ali,3.5,0,19,3,4.95,9,1,0,0,0,87
Mohammad Hafeez,1.5,0,12,0,6.54,2,0,0,0,0,87
Haris Rauf,4,0,23,4,5.75,7,2,0,0,0,87
Sohail Akhtar,0.1,0,0,0,0.00,1,0,0,0,0,87
Sohail Tanvir,4,1,21,4,5.25,14,3,0.0,1.0,0.0,88
Ghulam Mudassar,3.4,0,37,0,10.09,8,7,0.0,0.0,0.0,88
Mohammad Nawaz,4,0,24,1,6.00,14,1,2.0,0.0,0.0,88
Mohammad Irfan,4,0,47,0,11.75,5,6,1.0,0.0,0.0,88
Fawad Ahmed,4,0,15,3,3.75,12,0,0.0,0.0,0.0,88
Dwayne Smith,0.2,0,6,0,18.00,1,0,1.0,0.0,0.0,88
Samit Patel,3,0,15,1,5.00,9,2,0.0,0.0,0.0,88
Faheem Ashraf,3,0,24,0,8.00,8,2,1.0,0.0,0.0,88
Rumman Raees,3.2,0,28,1,8.40,5,2,1.0,1.0,0.0,88
Wayne Parnell,1,0,16,0,16.00,1,2,1.0,0.0,0.0,88
Shadab Khan,4,0,38,0,9.50,6,2,2.0,1.0,0.0,88
Mohammad Sami,1,0,14,0,14.00,2,3,0.0,0.0,1.0,88
Cameron Delport,3,0,21,1,7.00,3,0,1.0,1.0,0.0,88
Hasan Ali,4,0,15,4,3.75,15,2,0.0,0.0,0.0,89
Umaid Asif,2,0,17,0,8.50,4,3,0.0,0.0,0.0,89
Wahab Riaz,3.1,0,17,3,5.36,13,3,0.0,2.0,0.0,89
Ibtisam Sheikh,4,0,14,2,3.50,13,1,0.0,0.0,0.0,89
Kieron Pollard,2,0,10,1,5.00,6,1,0.0,0.0,0.0,89
Shaheen Shah Afridi,3,0,25,1,8.33,9,3,0.0,4.0,0.0,89
Haris Rauf,3,0,24,1,8.00,10,3,1.0,2.0,0.0,89
Hardus Viljoen,1,0,13,0,13.00,2,3,0.0,0.0,0.0,89
Rahat Ali,2,0,9,1,4.50,7,1,0.0,0.0,0.0,89
Hassan Khan,1,0,2,0,2.00,4,0,0.0,0.0,0.0,89
Agha Salman,0.1,0,6,0,36.00,0,0,1.0,0.0,0.0,89
Sohail Tanvir,4,0,29,1,7.25,12,3,1.0,1.0,0.0,90
Mohammad Nawaz,4,0,28,1,7.00,5,3,0.0,0.0,0.0,90
Mohammad Irfan,4,0,32,2,8.00,12,4,1.0,1.0,1.0,90
Fawad Ahmed,4,0,22,1,5.50,9,0,1.0,0.0,0.0,90
Ghulam Mudassar,4,0,44,2,11.00,7,6,0.0,1.0,1.0,90
Ali Shafique,1.4,0,9,0,5.40,5,1,0.0,0.0,0.0,90
Noman Ali,4,0,34,0,8.50,6,5,0.0,0.0,0.0,90
Dan Christian,1.5,0,18,0,9.81,2,3,0.0,0.0,0.0,90
Mohammad Irfan,4,0,26,1,6.50,11,4,0.0,1.0,0.0,90
Andre Russell,3,0,33,0,11.00,4,6,0.0,1.0,0.0,90
Shahid Afridi,4,0,36,1,9.00,7,4,1.0,0.0,0.0,90
Mohammad Amir,4,0,22,1,5.50,14,3,0.0,2.0,0.0,91
Aamer Yamin,4,0,40,1,10.00,5,3,2.0,0.0,0.0,91
Usman Shinwari,4,0,36,2,9.00,6,5,0.0,2.0,0.0,91
Imad Wasim,4,0,23,1,5.75,7,1,0.0,0.0,0.0,91
Sikandar Raza,4,1,23,2,5.75,11,1,1.0,0.0,0.0,91
Hasan Ali,4,0,15,4,3.75,13,1,0.0,1.0,0.0,91
Umaid Asif,4,0,23,1,5.75,13,4,0.0,0.0,0.0,91
Wahab Riaz,4,0,29,1,7.25,6,3,0.0,0.0,0.0,91
Ibtisam Sheikh,1,0,10,0,10.00,1,1,0.0,0.0,0.0,91
Kieron Pollard,4,0,18,1,4.50,8,0,0.0,0.0,0.0,91
Liam Dawson,3,0,13,0,4.33,9,1,0.0,0.0,0.0,91
Shaheen Shah Afridi,4,0,29,1,7.25,11,3,1.0,1.0,0.0,92
Haris Rauf,4,0,35,1,8.75,11,3,1.0,2.0,0.0,92
Rahat Ali,4,0,47,0,11.75,4,5,2.0,1.0,0.0,92
David Wiese,4,0,42,0,10.50,5,1,3.0,1.0,0.0,92
Sandeep Lamichhane,4,0,46,3,11.50,9,1,5.0,0.0,0.0,92
Mohammad Irfan,4,0,28,0,7.00,9,2,0.0,1.0,0.0,92
Mohammad Ilyas,4,0,44,1,11.00,7,5,2.0,1.0,0.0,92
Shoaib Malik,3,0,21,0,7.00,5,2,0.0,0.0,0.0,92
Mohammad Irfan,2,0,27,0,13.50,1,0,3.0,0.0,0.0,92
Junaid Khan,4,0,39,3,9.75,7,1,3.0,0.0,1.0,92
Andre Russell,2,0,28,0,14.00,0,2,2.0,0.0,0.0,92
Dan Christian,1,0,10,0,10.00,2,0,1.0,0.0,0.0,92
Hasan Ali,4,0,29,2,7.25,11,2,2.0,0.0,0.0,93
Sameen Gul,4,0,29,3,7.25,10,3,1.0,0.0,0.0,93
Umaid Asif,4,0,37,1,9.25,6,1,2.0,3.0,0.0,93
Wahab Riaz,4,0,31,1,7.75,8,3,0.0,0.0,1.0,93
Kieron Pollard,3,0,20,1,6.66,5,0,1.0,0.0,0.0,93
Liam Dawson,1,0,5,0,5.00,4,1,0.0,0.0,0.0,93
Samit Patel,4,0,38,1,9.50,5,3,2.0,0.0,0.0,93
Mohammad Sami,3.4,0,22,3,6.00,11,2,1.0,0.0,0.0,93
Muhammad Musa,4,0,25,3,6.25,11,2,1.0,0.0,0.0,93
Faheem Ashraf,4,0,32,2,8.00,7,3,1.0,1.0,0.0,93
Shadab Khan,4,0,29,1,7.25,9,1,2.0,0.0,0.0,93
Sohail Tanvir,4,0,21,2,5.25,11,0,1.0,0.0,0.0,94
Mohammad Nawaz,4,0,35,1,8.75,5,1,2.0,0.0,0.0,94
Ghulam Mudassar,4,0,21,3,5.25,12,1,0.0,3.0,0.0,94
Anwar Ali,4,0,27,1,6.75,6,1,1.0,0.0,0.0,94
Fawad Ahmed,4,0,31,0,7.75,4,0,1.0,0.0,0.0,94
Rahat Ali,4,0,33,1,8.25,7,2,1.0,2.0,0.0,94
Yasir Shah,4,0,31,1,7.75,9,3,1.0,0.0,0.0,94
David Wiese,4,0,37,1,9.25,4,3,1.0,1.0,0.0,94
Sandeep Lamichhane,4,0,20,1,5.00,11,0,1.0,0.0,0.0,94
Haris Rauf,4,0,25,2,6.25,9,2,0.0,1.0,0.0,94
Rumman Raees,4,0,34,1,8.50,9,2,2.0,1.0,0.0,95
Muhammad Musa,4,0,28,1,7.00,8,4,0.0,0.0,0.0,95
Faheem Ashraf,4,0,26,3,6.50,10,2,1.0,0.0,0.0,95
Shadab Khan,4,0,18,0,4.50,7,0,0.0,0.0,0.0,95
Samit Patel,3,0,20,0,6.66,4,0,1.0,0.0,0.0,95
Wayne Parnell,1,0,16,0,16.00,0,3,0.0,0.0,0.0,95
Mohammad Amir,3,0,35,0,11.66,7,8,0.0,0.0,0.0,95
Aamer Yamin,2,0,19,0,9.50,4,3,0.0,1.0,0.0,95
Usman Shinwari,2,0,29,0,14.50,4,2,3.0,0.0,0.0,95
Imad Wasim,4,0,27,2,6.75,8,2,1.0,0.0,0.0,95
Umer Khan,4,0,25,0,6.25,9,2,0.0,0.0,0.0,95
Colin Munro,1,0,4,0,4.00,2,0,0.0,0.0,0.0,95
Awais Zia,0.1,0,4,0,24.00,0,1,0.0,0.0,0.0,95
Hasan Ali,4,0,17,4,4.25,11,1,0.0,0.0,0.0,96
Sameen Gul,4,0,44,1,11.00,10,2,3.0,3.0,0.0,96
Wahab Riaz,4,0,34,1,8.50,10,2,1.0,4.0,1.0,96
Umaid Asif,4,0,28,1,7.00,6,1,1.0,0.0,0.0,96
Kieron Pollard,2,0,14,0,7.00,1,1,0.0,0.0,0.0,96
Liam Dawson,2,0,5,1,2.50,7,0,0.0,0.0,0.0,96
Mohammad Irfan,4,0,42,1,10.50,12,3,4.0,1.0,0.0,96
Chris Green,4,0,23,0,5.75,10,3,0.0,0.0,0.0,96
Junaid Khan,4,0,27,2,6.75,10,2,1.0,0.0,0.0,96
Shoaib Malik,3,0,19,0,6.33,3,1,0.0,0.0,0.0,96
Dan Christian,3,0,22,2,7.33,4,2,0.0,0.0,0.0,96
Shahid Afridi,1.4,0,12,0,7.20,3,0,1.0,0.0,0.0,96
Imad Wasim,4,0,13,0,3.25,12,0,0.0,1.0,0.0,97
Mohammad Amir,4,0,39,1,9.75,6,1,2.0,3.0,0.0,97
Aamer Yamin,4,0,37,3,9.25,9,2,3.0,0.0,0.0,97
Sohail Khan,2,0,32,0,16.00,2,3,2.0,1.0,0.0,97
Umer Khan,2,0,23,1,11.50,4,1,2.0,1.0,0.0,97
Colin Munro,4,0,34,0,8.50,7,0,3.0,1.0,0.0,97
Sohail Tanvir,4,0,21,2,5.25,11,1,0.0,4.0,0.0,97
Mohammad Nawaz,4,0,51,1,12.75,5,4,4.0,0.0,0.0,97
Ghulam Mudassar,3,0,44,0,14.66,1,5,2.0,1.0,0.0,97
Fawad Ahmed,4,0,31,1,7.75,6,2,1.0,0.0,0.0,97
Anwar Ali,3.4,0,40,0,10.90,6,3,3.0,0.0,0.0,97
Mohammad Ilyas,3,0,21,2,7.00,11,3,1.0,0.0,0.0,98
Mohammad Irfan,4,0,17,1,4.25,15,2,0.0,0.0,0.0,98
Noman Ali,2,0,14,2,7.00,6,2,0.0,1.0,0.0,98
Junaid Khan,3,0,11,0,3.66,11,1,0.0,1.0,0.0,98
Shahid Afridi,4,0,37,2,9.25,7,3,2.0,0.0,0.0,98
Dan Christian,1.4,0,19,3,11.40,4,1,2.0,0.0,0.0,98
Faheem Ashraf,3.1,0,19,0,6.00,10,2,0.0,0.0,0.0,98
Muhammad Musa,4,0,43,1,10.75,8,5,2.0,1.0,0.0,98
Rumman Raees,3,0,19,1,6.33,7,2,0.0,0.0,1.0,98
Samit Patel,4,0,24,1,6.00,11,3,0.0,1.0,0.0,98
Shadab Khan,4,0,16,1,4.00,14,2,0.0,0.0,0.0,98
Yasir Shah,4,0,32,1,8.00,12,3,2.0,0.0,0.0,99
Shaheen Shah Afridi,3.1,0,16,1,5.05,11,1,0.0,4.0,0.0,99
Sandeep Lamichhane,4,0,10,4,2.50,15,0,0.0,0.0,0.0,99
David Wiese,2,0,18,0,9.00,0,2,0.0,0.0,0.0,99
Fakhar Zaman,2,0,7,0,3.50,5,0,0.0,0.0,0.0,99
Haris Rauf,4,0,23,2,5.75,10,1,0.0,3.0,0.0,99
Sohail Tanvir,3,0,15,0,5.00,9,2,0.0,0.0,0.0,99
Mohammad Hasnain,4,0,29,1,7.25,10,4,0.0,2.0,0.0,99
