,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,id
207,Qalandars,Kings,Kings,22 runs,Lahore,"Feb 18, 2022",Twenty20,208
208,Qalandars,United,Qalandars,66 runs,Lahore,"Feb 19, 2022",Twenty20,209
209,Gladiators,Kings,Gladiators,23 runs,Lahore,"Feb 20, 2022",Twenty20,210
210,Sultans,United,Sultans,6 wickets,Lahore,"Feb 20, 2022",Twenty20,211
211,Qalandars,Zalmi,tied,-,Lahore,"Feb 21, 2022",Twenty20,212
212,Qalandars,Sultans,Sultans,28 runs,Lahore,"Feb 23, 2022",Twenty20,213
213,United,Zalmi,United,5 wickets,Lahore,"Feb 24, 2022",Twenty20,214
214,Qalandars,United,Qalandars,6 runs,Lahore,"Feb 25, 2022",Twenty20,215
215,Qalandars,Sultans,Qalandars,42 runs,Lahore,"Feb 27, 2022",Twenty20,216
216,Sultans,Qalandars,Qalandars,1 run,Multan,"Feb 13, 2023",Twenty20,217
217,Kings,Zalmi,Zalmi,2 runs,Karachi,"Feb 14, 2023",Twenty20,218
218,Sultans,Gladiators,Sultans,9 wickets,Multan,"Feb 15, 2023",Twenty20,219
219,Kings,United,United,4 wickets,Karachi,"Feb 16, 2023",Twenty20,220
220,Sultans,Zalmi,Sultans,56 runs,Multan,"Feb 17, 2023",Twenty20,221
221,Kings,Gladiators,Gladiators,6 runs,Karachi,"Feb 18, 2023",Twenty20,222
222,Sultans,United,Sultans,52 runs,Multan,"Feb 19, 2023",Twenty20,223
223,Kings,Qalandars,Kings,67 runs,Karachi,"Feb 19, 2023",Twenty20,224
224,Gladiators,Zalmi,Zalmi,4 wickets,Karachi,"Feb 20, 2023",Twenty20,225
225,Gladiators,Qalandars,Qalandars,63 runs,Karachi,"Feb 21, 2023",Twenty20,226
226,Sultans,Kings,Sultans,3 runs,Multan,"Feb 22, 2023",Twenty20,227
227,Zalmi,United,United,6 wickets,Karachi,"Feb 23, 2023",Twenty20,228
228,Gladiators,United,United,63 runs,Karachi,"Feb 24, 2023",Twenty20,229
229,Kings,Sultans,Kings,66 runs,Karachi,"Feb 26, 2023",Twenty20,230
230,Qalandars,Zalmi,Qalandars,40 runs,Lahore,"Feb 26, 2023",Twenty20,231
231,Qalandars,United,Qalandars,110 runs,Lahore,"Feb 27, 2023",Twenty20,232
232,Zalmi,Kings,Zalmi,24 runs,Rawalpindi,"Mar 1, 2023",Twenty20,233
233,Qalandars,Gladiators,Qalandars,17 runs,Lahore,"Mar 2, 2023",Twenty20,234
234,United,Kings,United,6 wickets,Rawalpindi,"Mar 3, 2023",Twenty20,235
235,Qalandars,Sultans,Qalandars,21 runs,Lahore,"Mar 4, 2023",Twenty20,236
236,United,Gladiators,United,2 wickets,Rawalpindi,"Mar 5, 2023",Twenty20,237
237,Gladiators,Kings,Gladiators,4 wickets,Rawalpindi,"Mar 6, 2023",Twenty20,238
238,Zalmi,Qalandars,Zalmi,35 runs,Rawalpindi,"Mar 7, 2023",Twenty20,239
239,United,Sultans,United,2 wickets,Rawalpindi,"Mar 7, 2023",Twenty20,240
240,Zalmi,Gladiators,Gladiators,8 wickets,Rawalpindi,"Mar 8, 2023",Twenty20,241
241,United,Qalandars,Qalandars,119 runs,Rawalpindi,"Mar 9, 2023",Twenty20,242
242,Zalmi,Sultans,Sultans,4 wickets,Rawalpindi,"Mar 10, 2023",Twenty20,243
243,Gladiators,Sultans,Sultans,9 runs,Rawalpindi,"Mar 11, 2023",Twenty20,244
244,United,Zalmi,Zalmi,13 runs,Rawalpindi,"Mar 12, 2023",Twenty20,245
245,Qalandars,Kings,Kings,86 runs,Lahore,"Mar 12, 2023",Twenty20,246
246,Qalandars,Sultans,Sultans,84 runs,Lahore,"Mar 15, 2023",Twenty20,247
247,United,Zalmi,Zalmi,12 runs,Lahore,"Mar 16, 2023",Twenty20,248
248,Qalandars,Zalmi,Qalandars,4 wickets,Lahore,"Mar 17, 2023",Twenty20,249
249,Qalandars,Sultans,Qalandars,1 run,Lahore,"Mar 18, 2023",Twenty20,250
