BATTING,dismissal,R,B,4s,6s,SR,id
Ahmed Safi Abdullah,not out,8,8,1,0,100.00,123
Muhammad Musa,not out,17,11,2,1,154.54,123
Tom Banton,c Shahid Afridi b Mohammad Irfan,4,5,1,0,80.00,124
Kamran Akmal †,c Vince b Sohail Tanvir,15,9,3,0,166.66,124
Haider Ali,c Rossouw b Sohail Tanvir,47,27,6,2,174.07,124
Shoaib Malik,c †Zeeshan Ashraf b Mohammad Ilyas,2,4,0,0,50.00,124
Liam Livingstone,c †Zeeshan Ashraf b Mohammad Ilyas,0,2,0,0,0.00,124
Liam Dawson,c †Zeeshan Ashraf b Shahid Afridi,22,23,1,0,95.65,124
Wahab Riaz,c Vince b Imran Tahir,9,7,2,0,128.57,124
Daren Sammy (c),c Vince b Mohammad Irfan,2,13,0,0,15.38,124
Hasan Ali,c Mohammad Ilyas b Sohail Tanvir,8,6,1,0,133.33,124
Mohammad Amir Khan,not out,7,9,1,0,77.77,124
Rahat Ali,c Shahid Afridi b Sohail Tanvir,1,6,0,0,16.66,124
James Vince,c Mohammad Amir Khan b Hasan Ali,5,5,1,0,100.00,124
Moeen Ali,c Dawson b Rahat Ali,2,4,0,0,50.00,124
Shan Masood (c),c †Kamran Akmal b Wahab Riaz,8,5,1,0,160.00,124
Rilee Rossouw,not out,49,42,7,1,116.66,124
Zeeshan Ashraf †,c Banton b Wahab Riaz,12,5,3,0,240.00,124
Khushdil Shah,not out,43,29,4,2,148.27,124
Luke Ronchi †,b Naseem Shah,11,4,1,1,275.00,125
Colin Munro,c Ahmed Shehzad b Mohammad Hasnain,31,20,2,3,155.00,125
Dawid Malan,b Naseem Shah,10,9,0,1,111.11,125
Shadab Khan (c),c Mohammad Nawaz b Cutting,39,25,3,2,156.00,125
Colin Ingram,not out,63,40,6,2,157.50,125
Asif Ali,c Roy b Mills,15,10,0,2,150.00,125
Faheem Ashraf,run out (Ahmed Shehzad),4,4,1,0,100.00,125
Amad Butt,c †Sarfaraz Ahmed b Mills,6,4,0,1,150.00,125
Ahmed Safi Abdullah,not out,1,5,0,0,20.00,125
Jason Roy,c Asif Ali b Ahmed Safi Abdullah,50,38,6,2,131.57,125
Shane Watson,c Malan b Faheem Ashraf,9,8,2,0,112.50,125
Ahmed Shehzad,st †Ronchi b Shadab Khan,12,5,0,2,240.00,125
Azam Khan,b Ahmed Safi Abdullah,10,11,1,0,90.90,125
Sarfaraz Ahmed (c)†,b Faheem Ashraf,33,20,5,0,165.00,125
Mohammad Nawaz,not out,25,20,3,0,125.00,125
Ben Cutting,not out,42,17,2,4,247.05,125
Moeen Ali,c Delport b Umaid Asif,65,42,4,4,154.76,126
Zeeshan Ashraf †,c Babar Azam b Iftikhar Ahmed,23,13,3,1,176.92,126
Shan Masood (c),b Jordan,61,42,7,1,145.23,126
Rilee Rossouw,c Babar Azam b Mohammad Amir,8,6,1,0,133.33,126
Ravi Bopara,c Umaid Asif b Mohammad Amir,9,5,0,1,180.00,126
Khushdil Shah,c †Walton b Jordan,10,9,0,0,111.11,126
Shahid Afridi,not out,1,3,0,0,33.33,126
Sohail Tanvir,not out,2,1,0,0,200.00,126
Sharjeel Khan,lbw b Ali,16,9,2,1,177.77,126
Babar Azam,c Mohammad Ilyas b Mohammad Irfan,13,12,1,0,108.33,126
Alex Hales,c Shan Masood b Shahid Afridi,29,21,4,1,138.09,126
Cameron Delport,c Ali b Imran Tahir,8,6,0,1,133.33,126
Chadwick Walton †,c Khushdil Shah b Imran Tahir,15,8,1,1,187.50,126
Imad Wasim (c),c †Zeeshan Ashraf b Shahid Afridi,5,6,1,0,83.33,126
Iftikhar Ahmed,c Khushdil Shah b Mohammad Ilyas,14,15,0,1,93.33,126
Chris Jordan,lbw b Imran Tahir,7,7,1,0,100.00,126
Umaid Asif,c Bopara b Sohail Tanvir,20,11,0,2,181.81,126
Umer Khan,not out,3,5,0,0,60.00,126
Mohammad Amir,b Sohail Tanvir,2,2,0,0,100.00,126
Tom Banton,c Fakhar Zaman b Wiese,34,15,4,2,226.66,127
Kamran Akmal †,c Sohail Akhtar b Shaheen Shah Afridi,14,9,2,0,155.55,127
Haider Ali,c †Vilas b Dilbar Hussain,34,12,1,4,283.33,127
Liam Livingstone,c & b Wiese,5,4,1,0,125.00,127
Mohammad Mohsin,c Patel b Dilbar Hussain,0,6,0,0,0.00,127
Lewis Gregory,b Dilbar Hussain,16,8,0,2,200.00,127
Daren Sammy (c),c Shaheen Shah Afridi b Dilbar Hussain,12,9,0,1,133.33,127
Wahab Riaz,not out,13,10,0,1,130.00,127
Fakhar Zaman,c Livingstone b Gregory,22,19,1,1,115.78,127
Chris Lynn,c Hasan Ali b Gregory,30,15,4,1,200.00,127
Mohammad Hafeez,c Banton b Gregory,1,3,0,0,33.33,127
Dane Vilas †,c Haider Ali b Mohammad Amir Khan,2,5,0,0,40.00,127
Samit Patel,not out,34,15,5,1,226.66,127
Sohail Akhtar (c),c †Kamran Akmal b Gregory,12,5,0,2,240.00,127
David Wiese,c Banton b Wahab Riaz,9,7,2,0,128.57,127
Salman Irshad,not out,2,4,0,0,50.00,127
Zeeshan Ashraf †,c Mohammad Nawaz b Naseem Shah,8,11,1,0,72.72,128
James Vince,c Azam Khan b Mohammad Nawaz,29,24,6,0,120.83,128
Shan Masood (c),c Azam Khan b Mohammad Hasnain,46,32,6,0,143.75,128
Moeen Ali,b Cutting,6,7,1,0,85.71,128
Rilee Rossouw,not out,100,44,10,6,227.27,128
Khushdil Shah,c Anwar Ali b Sohail Khan,1,2,0,0,50.00,128
Sohail Tanvir,not out,1,1,0,0,100.00,128
Jason Roy,c Ali b Bilawal Bhatti,30,27,6,0,111.11,128
Shane Watson,c Ali b Imran Tahir,80,41,7,7,195.12,128
Ahsan Ali,c Vince b Khushdil Shah,14,16,1,0,87.50,128
Azam Khan,c sub (WL Madsen) b Imran Tahir,6,6,1,0,100.00,128
Ben Cutting,c Shan Masood b Bilawal Bhatti,12,12,2,0,100.00,128
Anwar Ali,c sub (WL Madsen) b Bilawal Bhatti,14,8,1,1,175.00,128
Sohail Khan,run out (Sohail Tanvir/†Zeeshan Ashraf),1,2,0,0,50.00,128
Mohammad Nawaz,not out,5,6,0,0,83.33,128
Sarfaraz Ahmed (c)†,not out,3,4,0,0,75.00,128
Luke Ronchi †,not out,85,58,9,2,146.55,129
Colin Munro,c Jordan b Mohammad Amir,1,5,0,0,20.00,129
Rizwan Hussain,c Hales b Umer Khan,22,14,2,1,157.14,129
Colin Ingram,c †Walton b Imad Wasim,16,12,1,1,133.33,129
Shadab Khan (c),not out,54,31,3,4,174.19,129
Sharjeel Khan,c †Ronchi b Rumman Raees,38,20,3,4,190.00,129
Babar Azam,run out (Shadab Khan),0,0,0,0,-,129
Alex Hales,st †Ronchi b Ahmed Safi Abdullah,52,30,3,3,173.33,129
Cameron Delport,c †Ronchi b Steyn,38,28,1,3,135.71,129
Chadwick Walton †,not out,23,17,3,0,135.29,129
Iftikhar Ahmed,run out (Rizwan Hussain),1,2,0,0,50.00,129
Imad Wasim (c),not out,32,15,2,2,213.33,129
Tom Banton,lbw b Mohammad Amir,0,1,0,0,0.00,130
Kamran Akmal †,c Babar Azam b Aamer Yamin,4,8,1,0,50.00,130
Haider Ali,b Mohammad Amir,4,2,1,0,200.00,130
Shoaib Malik,c †Walton b Jordan,68,55,6,1,123.63,130
Liam Livingstone,c Babar Azam b Umer Khan,25,20,1,1,125.00,130
Lewis Gregory,c Imad Wasim b Mohammad Amir,25,22,2,0,113.63,130
Carlos Brathwaite,c †Walton b Mohammad Amir,8,5,0,1,160.00,130
Wahab Riaz (c),lbw b Jordan,2,4,0,0,50.00,130
Hasan Ali,not out,4,2,1,0,200.00,130
Yasir Shah,not out,1,1,0,0,100.00,130
Sharjeel Khan,lbw b Hasan Ali,4,3,1,0,133.33,130
Babar Azam,not out,70,59,10,0,118.64,130
Alex Hales,b Yasir Shah,49,27,6,2,181.48,130
Cameron Delport,c Banton b Yasir Shah,2,4,0,0,50.00,130
Chadwick Walton †,c Rahat Ali b Brathwaite,22,16,4,0,137.50,130
Iftikhar Ahmed,not out,0,0,0,0,-,130
Fakhar Zaman,c Anwar Ali b Mohammad Nawaz,15,14,2,0,107.14,131
Chris Lynn,c †Sarfaraz Ahmed b Mohammad Hasnain,27,22,4,1,122.72,131
Ben Dunk †,c Ahsan Ali b Cutting,93,43,3,10,216.27,131
Mohammad Hafeez,c Watson b Fawad Ahmed,0,1,0,0,0.00,131
Samit Patel,c Mohammad Nawaz b Cutting,71,40,9,2,177.50,131
Sohail Akhtar (c),not out,0,0,0,0,-,131
Jason Roy,b Patel,12,11,1,0,109.09,131
Shane Watson,c †Dunk b Dilbar Hussain,23,17,1,2,135.29,131
Ahsan Ali,c Lynn b Dilbar Hussain,2,3,0,0,66.66,131
Sarfaraz Ahmed (c)†,c Mohammad Hafeez b Patel,9,8,2,0,112.50,131
Azam Khan,c Muhammad Faizan b Salman Irshad,12,9,1,1,133.33,131
Mohammad Nawaz,c Dilbar Hussain b Muhammad Faizan,24,17,4,0,141.17,131
Ben Cutting,c Mohammad Hafeez b Salman Irshad,53,27,3,5,196.29,131
Anwar Ali,c Mohammad Hafeez b Muhammad Faizan,4,5,0,0,80.00,131
Fawad Ahmed,b Salman Irshad,14,15,2,0,93.33,131
Naseem Shah,lbw b Salman Irshad,7,7,0,1,100.00,131
Mohammad Hasnain,not out,1,1,0,0,100.00,131
Luke Ronchi †,c Patel b Mohammad Hafeez,48,31,6,1,154.83,132
Colin Munro,not out,87,59,8,3,147.45,132
Shadab Khan (c),c Patel b Muhammad Faizan,7,5,0,1,140.00,132
Colin Ingram,c †Dunk b Salman Irshad,29,19,6,0,152.63,132
Asif Ali,not out,20,6,3,1,333.33,132
Chris Lynn,c Rumman Raees b Steyn,0,2,0,0,0.00,132
Salman Butt,c Hussain Talat b Zafar Gohar,21,24,2,0,87.50,132
Mohammad Hafeez,c Hussain Talat b Akif Javed,10,13,1,0,76.92,132
Ben Dunk †,c †Ronchi b Shadab Khan,25,15,4,0,166.66,132
Samit Patel,c Munro b Shadab Khan,6,8,1,0,75.00,132
Sohail Akhtar (c),lbw b Zafar Gohar,8,9,1,0,88.88,132
Mohammad Faizan,b Zafar Gohar,6,6,0,1,100.00,132
Seekkuge Prasanna,c Asif Ali b Rumman Raees,8,8,0,1,100.00,132
Usman Shinwari,c Shadab Khan b Rumman Raees,30,14,0,4,214.28,132
Salman Irshad,b Rumman Raees,1,2,0,0,50.00,132
Dilbar Hussain,not out,8,12,0,1,66.66,132
Kamran Akmal †,c Roy b Mohammad Hasnain,23,12,2,2,191.66,133
Imam-ul-Haq,c †Sarfaraz Ahmed b Sohail Khan,7,7,1,0,100.00,133
Haider Ali,c Watson b Mohammad Hasnain,39,24,4,2,162.50,133
Shoaib Malik,b Mohammad Hasnain,54,27,8,1,200.00,133
Liam Livingstone,c Sohail Khan b Mohammad Hasnain,12,7,2,0,171.42,133
Lewis Gregory,not out,19,8,0,2,237.50,133
Liam Dawson,c Roy b Cutting,0,1,0,0,0.00,133
Hasan Ali,not out,9,5,0,1,180.00,133
Jason Roy,b Yasir Shah,45,26,5,2,173.07,133
Shane Watson,c Livingstone b Hasan Ali,19,14,4,0,135.71,133
Ahmed Shehzad,c Shoaib Malik b Wahab Riaz,10,17,0,0,58.82,133
Ben Cutting,c Livingstone b Wahab Riaz,17,7,0,2,242.85,133
Mohammad Nawaz,c Imam-ul-Haq b Rahat Ali,18,7,2,1,257.14,133
Azam Khan,c Gregory b Rahat Ali,0,1,0,0,0.00,133
Sarfaraz Ahmed (c)†,b Wahab Riaz,1,2,0,0,50.00,133
Sohail Khan,not out,16,11,0,2,145.45,133
Tymal Mills,not out,4,5,0,0,80.00,133
Moeen Ali,c Jordan b Aamer Yamin,29,22,2,1,131.81,134
Zeeshan Ashraf †,c Jordan b Mohammad Amir,2,8,0,0,25.00,134
Shan Masood (c),b Imad Wasim,9,17,0,0,52.94,134
Rilee Rossouw,c †Walton b Aamer Yamin,0,1,0,0,0.00,134
Ravi Bopara,c †Walton b Imad Wasim,4,2,1,0,200.00,134
Khushdil Shah,c Jordan b Umer Khan,8,16,0,0,50.00,134
Shahid Afridi,not out,35,17,1,3,205.88,134
Sohail Tanvir,not out,10,18,1,0,55.55,134
Luke Ronchi †,c Wahab Riaz b Rahat Ali,6,5,0,1,120.00,135
Colin Munro,c Livingstone b Brathwaite,52,35,4,2,148.57,135
Rizwan Hussain,b Hasan Ali,5,4,1,0,125.00,135
Shadab Khan (c),c Livingstone b Wahab Riaz,77,42,5,4,183.33,135
Colin Ingram,c Livingstone b Hasan Ali,41,25,1,2,164.00,135
Asif Ali,not out,3,5,0,0,60.00,135
Faheem Ashraf,not out,3,4,0,0,75.00,135
Kamran Akmal †,c Faheem Ashraf b Zafar Gohar,37,21,4,1,176.19,135
Imam-ul-Haq,c Zafar Gohar b Rumman Raees,7,9,1,0,77.77,135
Tom Banton,not out,20,16,3,0,125.00,135
Haider Ali,not out,16,8,1,1,200.00,135
Jason Roy,b Patel,6,13,0,0,46.15,136
Shane Watson,lbw b Shaheen Shah Afridi,0,1,0,0,0.00,136
Ahmed Shehzad,c Patel b Shaheen Shah Afridi,9,8,2,0,112.50,136
Sarfaraz Ahmed (c)†,c Dunk b Patel,1,5,0,0,20.00,136
Mohammad Nawaz,c Dilbar Hussain b Raja Farzan,10,26,1,0,38.46,136
Azam Khan,c Dunk b Patel,0,4,0,0,0.00,136
Ben Cutting,c Shaheen Shah Afridi b Patel,0,1,0,0,0.00,136
Sohail Khan,b Salman Irshad,32,35,2,2,91.42,136
Fawad Ahmed,st †Vilas b Raja Farzan,4,8,1,0,50.00,136
Zahid Mahmood,not out,19,19,2,0,100.00,136
Mohammad Hasnain,not out,2,2,0,0,100.00,136
Fakhar Zaman,b Mohammad Nawaz,20,13,3,1,153.84,136
Sohail Akhtar (c),st †Sarfaraz Ahmed b Mohammad Nawaz,5,5,0,0,100.00,136
Mohammad Hafeez,not out,39,32,4,1,121.87,136
Ben Dunk,not out,30,21,3,1,142.85,136
Luke Ronchi †,c Rossouw b Junaid Khan,18,10,2,1,180.00,137
Colin Munro,c Sohail Tanvir b Imran Tahir,25,12,1,3,208.33,137
Shadab Khan (c),c Ali b Imran Tahir,14,12,1,0,116.66,137
Colin Ingram,c Vince b Ali,6,4,1,0,150.00,137
Asif Ali,c & b Junaid Khan,4,4,0,0,100.00,137
Rizwan Hussain,run out (Shan Masood/Junaid Khan),7,4,1,0,175.00,137
Amad Butt,run out (Vince/†Zeeshan Ashraf),8,8,0,1,100.00,137
Rumman Raees,not out,0,0,0,0,-,137
Zeeshan Ashraf †,c & b Shadab Khan,16,12,3,0,133.33,137
James Vince,not out,61,24,11,1,254.16,137
Moeen Ali,not out,14,5,3,0,280.00,137
Sharjeel Khan,run out (†Wiese),5,8,1,0,62.50,138
Babar Azam,c Sohail Akhtar b Maaz Khan,38,29,6,0,131.03,138
Alex Hales,not out,80,48,6,5,166.66,138
Cameron Delport,c & b Maaz Khan,15,13,2,0,115.38,138
Iftikhar Ahmed,run out (Fakhar Zaman/†Vilas),1,2,0,0,50.00,138
Chadwick Walton †,c Wiese b Salman Irshad,45,20,2,5,225.00,138
Imad Wasim (c),not out,0,0,0,0,-,138
Fakhar Zaman,b Mohammad Amir,0,5,0,0,0.00,138
Sohail Akhtar (c),not out,68,46,6,2,147.82,138
Mohammad Hafeez,c Delport b Umer Khan,16,24,1,0,66.66,138
Ben Dunk,not out,99,40,3,12,247.50,138
Kamran Akmal †,c Haris Rauf b Patel,12,8,1,1,150.00,139
Tom Banton,c Mohammad Hafeez b Shaheen Shah Afridi,0,1,0,0,0.00,139
Liam Livingstone,c Fakhar Zaman b Patel,4,5,1,0,80.00,139
Shoaib Malik,c Fakhar Zaman b Wiese,62,43,7,2,144.18,139
Haider Ali,c †Dunk b Dilbar Hussain,69,43,4,4,160.46,139
Lewis Gregory,b Shaheen Shah Afridi,8,4,0,1,200.00,139
Carlos Brathwaite,not out,16,11,2,0,145.45,139
Wahab Riaz (c),b Shaheen Shah Afridi,1,2,0,0,50.00,139
Hasan Ali,not out,7,3,1,0,233.33,139
Fakhar Zaman,c Yasir Shah b Wahab Riaz,63,46,4,3,136.95,139
Sohail Akhtar (c),run out (Haider Ali/†Kamran Akmal),21,19,3,0,110.52,139
Chris Lynn,c Yasir Shah b Brathwaite,59,32,6,3,184.37,139
Ben Dunk †,c Banton b Brathwaite,7,5,1,0,140.00,139
Mohammad Hafeez,c Gregory b Brathwaite,4,4,0,0,100.00,139
Samit Patel,not out,11,7,2,0,157.14,139
David Wiese,not out,17,6,0,2,283.33,139
Sohail Akhtar (c),lbw b Arshad Iqbal,68,49,8,2,138.77,140
Fakhar Zaman,b Umaid Asif,17,13,3,0,130.76,140
Chris Lynn,c Iftikhar Ahmed b Arshad Iqbal,5,5,0,0,100.00,140
Ben Dunk †,c Usama Mir b Umaid Asif,9,14,1,0,64.28,140
Mohammad Hafeez,not out,35,22,3,1,159.09,140
Samit Patel,c Babar Azam b Jordan,5,9,0,0,55.55,140
David Wiese,not out,5,8,0,0,62.50,140
Sharjeel Khan,not out,74,59,5,5,125.42,140
Babar Azam,not out,69,46,8,1,150.00,140
Rohail Nazir,c †Kamran Akmal b Rahat Ali,14,14,2,0,100.00,141
Zeeshan Ashraf †,c †Kamran Akmal b Rahat Ali,52,39,7,1,133.33,141
Shan Masood (c),c Umar Amin b Hasan Ali,28,23,3,0,121.73,141
Moeen Ali,b Rahat Ali,0,2,0,0,0.00,141
Ravi Bopara,c Hammad Azam b Mohammad Amir Khan,5,8,0,0,62.50,141
Khushdil Shah,not out,30,20,0,2,150.00,141
Shahid Afridi,c Umar Amin b Wahab Riaz,19,13,1,1,146.15,141
Sohail Tanvir,not out,0,1,0,0,0.00,141
Kamran Akmal †,b Mohammad Irfan,2,7,0,0,28.57,141
Imam-ul-Haq,c Shan Masood b Sohail Tanvir,56,41,4,2,136.58,141
Wahab Riaz (c),c Ali b Sohail Tanvir,3,7,0,0,42.85,141
Umar Amin,b Ali,29,23,4,0,126.08,141
Shoaib Malik,c Shahid Afridi b Ali Shafique,30,25,1,2,120.00,141
Haider Ali,c Ali b Ali Shafique,1,4,0,0,25.00,141
Hammad Azam,c †Zeeshan Ashraf b Sohail Tanvir,7,5,1,0,140.00,141
Adil Amin,not out,7,7,1,0,100.00,141
Hasan Ali,run out (†Zeeshan Ashraf),1,3,0,0,33.33,141
Rizwan Hussain,c †Walton b Umaid Asif,17,14,2,0,121.42,142
Phil Salt †,c Jordan b Imad Wasim,25,19,3,1,131.57,142
Hussain Talat,c Delport b Iftikhar Ahmed,37,30,4,0,123.33,142
Shadab Khan (c),c Iftikhar Ahmed b Arshad Iqbal,12,14,1,0,85.71,142
Colin Ingram,run out (†Walton/Jordan),14,15,1,0,93.33,142
Asif Ali,c Usama Mir b Jordan,2,5,0,0,40.00,142
Faheem Ashraf,not out,12,14,0,0,85.71,142
Zafar Gohar,not out,13,10,1,0,130.00,142
Sharjeel Khan,lbw b Akif Javed,37,14,3,4,264.28,142
Babar Azam,b Muhammad Musa,19,20,3,0,95.00,142
Cameron Delport,b Shadab Khan,11,24,0,0,45.83,142
Imad Wasim (c),c †Salt b Zafar Gohar,26,34,2,1,76.47,142
Iftikhar Ahmed,c Asif Ali b Shadab Khan,1,4,0,0,25.00,142
Chadwick Walton †,c Hussain Talat b Rumman Raees,11,6,1,1,183.33,142
Chris Jordan,not out,6,8,0,0,75.00,142
Umaid Asif,not out,13,6,1,1,216.66,142
Moeen Ali,b Shaheen Shah Afridi,1,5,0,0,20.00,143
Zeeshan Ashraf †,c Sohail Akhtar b Mohammad Hafeez,2,3,0,0,66.66,143
Shan Masood (c),b Wiese,42,29,5,0,144.82,143
Ravi Bopara,c Fakhar Zaman b Wiese,33,36,4,0,91.66,143
Khushdil Shah,not out,70,29,5,6,241.37,143
Asad Shafiq,run out (Dilbar Hussain/†Dunk),1,1,0,0,100.00,143
Rohail Nazir,b Shaheen Shah Afridi,24,17,2,1,141.17,143
Bilawal Bhatti,not out,1,1,0,0,100.00,143
Fakhar Zaman,st †Zeeshan Ashraf b Usman Qadir,57,35,7,2,162.85,143
Chris Lynn,not out,113,55,12,8,205.45,143
Sohail Akhtar (c),not out,19,23,2,0,82.60,143
Sharjeel Khan,b Naseem Shah,0,2,0,0,0.00,144
Babar Azam (c),c Mohammad Nawaz b Fawad Ahmed,32,34,3,0,94.11,144
Iftikhar Ahmed,c Watson b Sohail Khan,21,17,3,0,123.52,144
Cameron Delport,b Mohammad Hasnain,62,44,5,2,140.90,144
Chadwick Walton,c Mohammad Hasnain b Naseem Shah,26,20,2,1,130.00,144
Mohammad Rizwan †,not out,0,1,0,0,0.00,144
Usama Mir,not out,1,2,0,0,50.00,144
Ahmed Shehzad,c †Mohammad Rizwan b Waqas Maqsood,0,2,0,0,0.00,144
Shane Watson,c Babar Azam b Arshad Iqbal,66,34,7,4,194.11,144
Khurram Manzoor,c Usama Mir b Waqas Maqsood,63,40,9,1,157.50,144
Sarfaraz Ahmed (c)†,c Walton b Ali Khan,2,5,0,0,40.00,144
Azam Khan,not out,12,12,2,0,100.00,144
Ben Cutting,c Walton b Arshad Iqbal,0,1,0,0,0.00,144
Mohammad Nawaz,not out,8,4,0,1,200.00,144
Zeeshan Ashraf †,c Hales b Imad Wasim,21,19,3,0,110.52,145
Adam Lyth,c †Walton b Waqas Maqsood,9,7,0,1,128.57,145
Shan Masood (c),run out (Mohammad Amir),3,2,0,0,150.00,145
Rilee Rossouw,run out (†Walton/Arshad Iqbal),5,9,0,0,55.55,145
Ravi Bopara,c Iftikhar Ahmed b Waqas Maqsood,40,31,3,1,129.03,145
Khushdil Shah,c Rutherford b Arshad Iqbal,17,21,0,1,80.95,145
Shahid Afridi,c Hales b Arshad Iqbal,12,12,0,1,100.00,145
Sohail Tanvir,not out,25,13,1,2,192.30,145
Mohammad Ilyas,not out,5,6,0,0,83.33,145
Sharjeel Khan,c Imran Tahir b Sohail Tanvir,4,7,0,0,57.14,145
Babar Azam,c †Zeeshan Ashraf b Sohail Tanvir,65,53,5,2,122.64,145
Alex Hales,run out (Khushdil Shah),22,19,4,0,115.78,145
Iftikhar Ahmed,c Shan Masood b Shahid Afridi,13,12,1,0,108.33,145
Imad Wasim (c),not out,27,16,2,1,168.75,145
Chadwick Walton †,c Lyth b Sohail Tanvir,2,2,0,0,100.00,145
Sherfane Rutherford,c †Zeeshan Ashraf b Imran Tahir,1,3,0,0,33.33,145
Wayne Parnell,run out (Bopara),1,3,0,0,33.33,145
Mohammad Amir,c Khushdil Shah b Mohammad Ilyas,1,4,0,0,25.00,145
Waqas Maqsood,not out,1,1,0,0,100.00,145
Imam-ul-Haq †,c & b Wiese,24,19,0,2,126.31,146
Haider Ali,b Shaheen Shah Afridi,0,1,0,0,0.00,146
Sohaib Maqsood,c Fakhar Zaman b Dilbar Hussain,16,17,1,1,94.11,146
Faf du Plessis,c †Dunk b Dilbar Hussain,31,25,1,1,124.00,146
Shoaib Malik,c †Dunk b Dilbar Hussain,39,24,2,2,162.50,146
Mohammad Imran,c Fakhar Zaman b Wiese,8,4,0,1,200.00,146
Carlos Brathwaite,c Mohammad Hafeez b Shaheen Shah Afridi,10,8,1,0,125.00,146
Hardus Viljoen,c Sohail Akhtar b Haris Rauf,37,16,3,3,231.25,146
Wahab Riaz (c),c Sohail Akhtar b Haris Rauf,0,3,0,0,0.00,146
Saqib Mahmood,not out,2,3,0,0,66.66,146
Fakhar Zaman,c †Imam-ul-Haq b Mahmood,6,7,1,0,85.71,146
Tamim Iqbal,c †Imam-ul-Haq b Mahmood,18,10,2,1,180.00,146
Sohail Akhtar (c),c Wahab Riaz b Mahmood,7,8,1,0,87.50,146
Mohammad Hafeez,not out,74,46,9,2,160.86,146
Ben Dunk †,c Brathwaite b Mohammad Imran,20,19,2,0,105.26,146
Samit Patel,c Viljoen b Rahat Ali,20,17,3,0,117.64,146
David Wiese,not out,16,7,0,2,228.57,146
Tamim Iqbal,c Khushdil Shah b Junaid Khan,30,20,5,0,150.00,147
Fakhar Zaman,c Sohail Tanvir b Lyth,46,36,4,2,127.77,147
Sohail Akhtar (c),c Rossouw b Mohammad Ilyas,5,4,1,0,125.00,147
Mohammad Hafeez,c Lyth b Shahid Afridi,19,21,2,0,90.47,147
Ben Dunk †,b Shahid Afridi,3,3,0,0,100.00,147
Samit Patel,c Shan Masood b Sohail Tanvir,26,16,4,0,162.50,147
David Wiese,not out,48,21,5,3,228.57,147
Mohammad Faizan,not out,0,0,0,0,-,147
Zeeshan Ashraf †,c †Dunk b Haris Rauf,12,9,1,1,133.33,147
Adam Lyth,c Fakhar Zaman b Wiese,50,29,4,3,172.41,147
Shan Masood (c),c †Dunk b Dilbar Hussain,27,22,1,0,122.72,147
Rilee Rossouw,c Wiese b Haris Rauf,18,18,1,0,100.00,147
Ravi Bopara,c †Dunk b Wiese,1,2,0,0,50.00,147
Khushdil Shah,c Mohammad Hafeez b Shaheen Shah Afridi,30,19,2,2,157.89,147
Shahid Afridi,b Haris Rauf,0,1,0,0,0.00,147
Sohail Tanvir,b Wiese,3,5,0,0,60.00,147
Mohammad Ilyas,c †Dunk b Shaheen Shah Afridi,9,8,1,0,112.50,147
Imran Tahir,c Fakhar Zaman b Dilbar Hussain,1,2,0,0,50.00,147
Junaid Khan,not out,0,1,0,0,0.00,147
Tamim Iqbal,c Iftikhar Ahmed b Umaid Asif,35,38,4,1,92.10,148
Fakhar Zaman,c Iftikhar Ahmed b Umaid Asif,27,24,4,0,112.50,148
Mohammad Hafeez,c Babar Azam b Imad Wasim,2,4,0,0,50.00,148
Ben Dunk †,c Babar Azam b Arshad Iqbal,11,14,1,0,78.57,148
Samit Patel,c Waqas Maqsood b Arshad Iqbal,5,8,0,0,62.50,148
Sohail Akhtar (c),c Rutherford b Waqas Maqsood,14,14,1,0,100.00,148
David Wiese,not out,14,14,1,0,100.00,148
Mohammad Faizan,c Iftikhar Ahmed b Waqas Maqsood,0,1,0,0,0.00,148
Shaheen Shah Afridi,not out,12,4,1,1,300.00,148
Sharjeel Khan,c Fakhar Zaman b Patel,13,12,2,0,108.33,148
Babar Azam,not out,63,49,7,0,128.57,148
Alex Hales,b Dilbar Hussain,11,11,1,0,100.00,148
Chadwick Walton †,lbw b Dilbar Hussain,22,27,1,0,81.48,148
Iftikhar Ahmed,c Wiese b Haris Rauf,4,6,0,0,66.66,148
Sherfane Rutherford,c Sohail Akhtar b Haris Rauf,0,1,0,0,0.00,148
Imad Wasim (c),not out,10,7,2,0,142.85,148
Tom Banton,c †Clarke b Imad Wasim,5,3,1,0,166.66,149
Sarfaraz Ahmed (c)†,c †Clarke b Aamer Yamin,7,8,1,0,87.50,149
Chris Gayle,c Mohammad Amir b Christian,39,24,4,2,162.50,149
Saim Ayub,c Aamer Yamin b Waqas Maqsood,8,14,1,0,57.14,149
Azam Khan,c Christian b Arshad Iqbal,17,14,1,1,121.42,149
Mohammad Nawaz,run out (Waqas Maqsood/Christian),3,8,0,0,37.50,149
Ben Cutting,b Arshad Iqbal,11,13,2,0,84.61,149
Qais Ahmad,c †Clarke b Waqas Maqsood,16,13,1,1,123.07,149
Usman Shinwari,c Imad Wasim b Mohammad Amir,0,4,0,0,0.00,149
Mohammad Hasnain,c †Clarke b Arshad Iqbal,4,5,1,0,80.00,149
Naseem Shah,not out,1,4,0,0,25.00,149
Sharjeel Khan,lbw b Mohammad Hasnain,4,4,1,0,100.00,149
Babar Azam,c †Sarfaraz Ahmed b Mohammad Hasnain,24,20,3,0,120.00,149
Joe Clarke †,c Azam Khan b Usman Shinwari,46,23,6,3,200.00,149
