BATTING,dismissal,R,B,4s,6s,SR,id
Mushfiqur Rahim †,not out,10,7,1,0,142.85,12
Chris Gayle,c †Mushfiqur Rahim b Bopara,37,28,3,2,132.14,12
Cameron Delport,st †Mushfiqur Rahim b Usama Mir,55,39,7,2,141.02,12
Umar Akmal,c Shakib Al Hasan b Bopara,19,19,2,0,100.00,12
Dwayne Bravo (c),c Mir Hamza b Bopara,0,1,0,0,0.00,12
Mohammad Rizwan †,b Bopara,12,12,0,0,100.00,12
Hammad Azam,lbw b Bopara,0,1,0,0,0.00,12
Naved Yasin,c Shoaib Malik b Bopara,0,2,0,0,0.00,12
Kevon Cooper,not out,10,9,1,0,111.11,12
Zafar Gohar,b Sohail Khan,1,3,0,0,33.33,12
Zohaib Khan,not out,10,6,1,0,166.66,12
Shane Watson,b Mohammad Asghar,19,20,4,0,95.00,13
Sharjeel Khan,c Shahid Afridi b Tait,28,22,2,2,127.27,13
Khalid Latif,c Tamim Iqbal b Wahab Riaz,59,41,1,4,143.90,13
Misbah-ul-Haq (c),c Shahid Afridi b Wahab Riaz,32,27,3,2,118.51,13
Andre Russell,c Sammy b Mohammad Asghar,2,2,0,0,100.00,13
Brad Haddin †,not out,2,4,0,0,50.00,13
Asif Ali,lbw b Junaid Khan,0,1,0,0,0.00,13
Mohammad Sami,not out,3,3,0,0,100.00,13
Tamim Iqbal,not out,80,58,6,3,137.93,13
Mohammad Hafeez,c Misbah-ul-Haq b Mohammad Sami,25,14,4,1,178.57,13
Jim Allenby,c Mohammad Sami b Badree,7,11,1,0,63.63,13
Kamran Akmal †,st †Haddin b Saeed Ajmal,10,10,0,1,100.00,13
Shahid Yousaf,not out,27,19,2,1,142.10,13
Nauman Anwar,b Anwar Ali,6,9,1,0,66.66,14
Shoaib Malik (c),c Ahmed Shehzad b Mohammad Nabi,45,38,3,2,118.42,14
James Vince,b Elliott,23,17,1,1,135.29,14
Shakib Al Hasan,c Aizaz Cheema b Elliott,10,19,0,0,52.63,14
Ravi Bopara,c & b Elliott,14,17,1,0,82.35,14
Sohail Tanvir,c Mohammad Nawaz b Elliott,8,7,1,0,114.28,14
Mushfiqur Rahim †,c & b Aizaz Cheema,6,5,1,0,120.00,14
Imad Wasim,run out (Zulfiqar Babar),2,2,0,0,100.00,14
Usama Mir,b Zulfiqar Babar,0,1,0,0,0.00,14
Sohail Khan,not out,7,5,1,0,140.00,14
Mir Hamza,not out,0,0,0,0,-,14
Luke Wright,c Mir Hamza b Imad Wasim,11,12,1,0,91.66,14
Ahmed Shehzad,b Usama Mir,41,27,7,0,151.85,14
Kevin Pietersen,c Sohail Tanvir b Usama Mir,26,22,0,2,118.18,14
Sarfaraz Ahmed (c)†,not out,29,33,1,0,87.87,14
Grant Elliott,lbw b Shakib Al Hasan,5,5,1,0,100.00,14
Mohammad Nawaz,run out (Vince),6,7,0,0,85.71,14
Anwar Ali,not out,5,7,0,0,71.42,14
Azhar Ali (c),c Tamim Iqbal b Sammy,25,26,3,0,96.15,15
Chris Gayle,lbw b Junaid Khan,0,1,0,0,0.00,15
Cameron Delport,c Malan b Junaid Khan,78,61,6,3,127.86,15
Umar Akmal,not out,52,31,6,0,167.74,15
Dwayne Bravo,not out,1,1,0,0,100.00,15
Tamim Iqbal,c †Mohammad Rizwan b Delport,30,22,4,1,136.36,15
Mohammad Hafeez,c Azhar Ali b Cooper,9,7,2,0,128.57,15
Kamran Akmal †,c Azhar Ali b Delport,18,20,1,0,90.00,15
Dawid Malan,lbw b Cooper,42,35,0,3,120.00,15
Shahid Afridi (c),c Umar Akmal b Delport,9,6,1,0,150.00,15
Shahid Yousaf,run out (Cooper),16,11,3,0,145.45,15
Daren Sammy,c Zohaib Khan b Cooper,6,4,0,1,150.00,15
Wahab Riaz,not out,14,11,0,1,127.27,15
Junaid Khan,not out,1,4,0,0,25.00,15
James Vince,c Misbah-ul-Haq b Imran Khalid,2,5,0,0,40.00,16
Shahzaib Hasan,c †Haddin b Mohammad Sami,27,19,3,1,142.10,16
Imad Wasim,lbw b Imran Khalid,0,2,0,0,0.00,16
Ravi Bopara,c Asif Ali b Azhar Mahmood,45,50,4,0,90.00,16
Mushfiqur Rahim †,b Russell,33,27,2,1,122.22,16
Shoaib Malik (c),not out,7,11,0,0,63.63,16
Shakib Al Hasan,not out,7,6,1,0,116.66,16
Sharjeel Khan,c Shahzaib Hasan b Sohail Khan,1,3,0,0,33.33,16
Andre Russell,hit wicket b Mohammad Amir,14,11,2,1,127.27,16
Brad Haddin †,c Shakib Al Hasan b Sohail Khan,4,6,1,0,66.66,16
Khalid Latif,st †Mushfiqur Rahim b Usama Mir,33,35,1,3,94.28,16
Misbah-ul-Haq (c),c Vince b Bopara,38,38,5,0,100.00,16
Asif Ali,not out,31,17,1,3,182.35,16
Azhar Mahmood,not out,2,3,0,0,66.66,16
Asad Shafiq,run out (Shahid Afridi),16,15,1,1,106.66,17
Ahmed Shehzad,b Wahab Riaz,21,17,2,1,123.52,17
Kumar Sangakkara,b Wahab Riaz,0,2,0,0,0.00,17
Akbar-ur-Rehman,c Shahid Yousuf b Shahid Afridi,1,4,0,0,25.00,17
Mohammad Nawaz,lbw b Shahid Afridi,5,12,0,0,41.66,17
Sarfaraz Ahmed (c)†,b Shahid Afridi,10,6,0,1,166.66,17
Grant Elliott,c Malan b Junaid Khan,40,29,2,3,137.93,17
Mohammad Nabi,c Shahid Yousuf b Shahid Afridi,2,10,0,0,20.00,17
Elton Chigumbura,lbw b Shahid Afridi,0,1,0,0,0.00,17
Umar Gul,c Sammy b Mohammad Asghar,0,2,0,0,0.00,17
Zulfiqar Babar,not out,20,11,1,1,181.81,17
Mohammad Hafeez,c Elliott b Mohammad Nawaz,36,29,5,1,124.13,17
Dawid Malan,not out,60,52,6,1,115.38,17
Kamran Akmal †,c Chigumbura b Zulfiqar Babar,17,27,0,0,62.96,17
Brad Hodge,not out,3,4,0,0,75.00,17
Chris Gayle,c Ahmed Shehzad b Zulfiqar Babar,60,34,3,6,176.47,18
Azhar Ali (c),c Anwar Ali b Elliott,61,45,7,2,135.55,18
Umar Akmal,not out,55,25,4,4,220.00,18
Dwayne Bravo,not out,20,17,3,0,117.64,18
Bismillah Khan,c †Mohammad Rizwan b Bravo,55,30,10,1,183.33,18
Ahmed Shehzad,lbw b Ehsan Adil,4,2,1,0,200.00,18
Kevin Pietersen,c Umar Akmal b Bravo,34,21,6,0,161.90,18
Kumar Sangakkara,b Ehsan Adil,37,26,4,0,142.30,18
Sarfaraz Ahmed (c)†,b Ehsan Adil,21,17,2,0,123.52,18
Anwar Ali,c Umar Akmal b Bravo,6,8,0,0,75.00,18
Grant Elliott,c Ehsan Adil b Cooper,3,3,0,0,100.00,18
Mohammad Nawaz,c †Mohammad Rizwan b Ehsan Adil,0,2,0,0,0.00,18
Mohammad Nabi,not out,30,12,3,2,250.00,18
Zulfiqar Babar,not out,1,1,0,0,100.00,18
Lendl Simmons,b Shahid Afridi,49,37,6,2,132.43,19
Shahzaib Hasan,c †Kamran Akmal b Hasan Ali,18,17,1,1,105.88,19
Riki Wessels,run out (Aamer Yamin/Abdur Rehman),3,6,0,0,50.00,19
Shoaib Malik (c),c Imran Khan b Aamer Yamin,15,14,0,0,107.14,19
Ravi Bopara,c & b Imran Khan,23,22,2,0,104.54,19
Shakib Al Hasan,c Abdur Rehman b Sammy,11,12,0,0,91.66,19
Bilawal Bhatti,not out,15,9,1,1,166.66,19
Sohail Khan,run out (Sammy),7,5,0,1,140.00,19
Usama Mir,not out,2,1,0,0,200.00,19
Mohammad Hafeez,c Wessels b Mohammad Amir,4,6,1,0,66.66,19
Dawid Malan,c †Saifullah Bangash b Bilawal Bhatti,8,11,1,0,72.72,19
Jim Allenby,lbw b Usama Mir,31,29,4,0,106.89,19
Brad Hodge,not out,85,45,6,6,188.88,19
Shahid Afridi (c),lbw b Bilawal Bhatti,5,5,0,0,100.00,19
Kamran Akmal †,run out (Bopara/Usama Mir),8,9,1,0,88.88,19
Daren Sammy,not out,11,6,1,1,183.33,19
Azhar Ali (c),c Azhar Mahmood b Mohammad Irfan,1,5,0,0,20.00,20
Cameron Delport,c Azhar Mahmood b Rumman Raees,1,3,0,0,33.33,20
Sohaib Maqsood,c Asif Ali b Mohammad Irfan,57,44,5,2,129.54,20
Mohammad Rizwan †,c Khalid Latif b Mohammad Irfan,0,7,0,0,0.00,20
Umar Akmal,not out,72,49,5,3,146.93,20
Dwayne Bravo,run out (†Haddin/Rumman Raees),13,12,0,1,108.33,20
Kevon Cooper,not out,0,0,0,0,-,20
Dwayne Smith,c †Mohammad Rizwan b Zia-ul-Haq,11,7,2,0,157.14,20
Sharjeel Khan,c †Mohammad Rizwan b Zia-ul-Haq,5,7,0,0,71.42,20
Brad Haddin †,run out (Zia-ul-Haq),54,42,5,2,128.57,20
Khalid Latif,run out (Azhar Ali/†Mohammad Rizwan),25,24,2,0,104.16,20
Misbah-ul-Haq (c),not out,38,19,7,0,200.00,20
Asif Ali,lbw b Ehsan Adil,3,6,0,0,50.00,20
Azhar Mahmood,not out,12,9,2,0,133.33,20
Bismillah Khan,c Bairstow b Hasan Ali,0,2,0,0,0.00,21
Ahmed Shehzad,st †Kamran Akmal b Mohammad Asghar,6,9,1,0,66.66,21
Kevin Pietersen,c Hasan Ali b Tait,53,38,5,2,139.47,21
Kumar Sangakkara,c Bairstow b Sammy,37,29,6,0,127.58,21
Sarfaraz Ahmed (c)†,c & b Shahid Afridi,0,2,0,0,0.00,21
Mohammad Nawaz,c Wahab Riaz b Tait,20,18,1,2,111.11,21
Grant Elliott,c Tait b Wahab Riaz,5,9,0,0,55.55,21
Nathan McCullum,c Mohammad Hafeez b Wahab Riaz,1,4,0,0,25.00,21
Anwar Ali,c Sammy b Wahab Riaz,1,5,0,0,20.00,21
Zulfiqar Babar,run out (†Kamran Akmal/Wahab Riaz),0,1,0,0,0.00,21
Aizaz Cheema,not out,0,0,0,0,-,21
Mohammad Hafeez,b Mohammad Nawaz,15,18,2,0,83.33,21
Kamran Akmal †,b Anwar Ali,9,13,2,0,69.23,21
Shahid Yousaf,c Zulfiqar Babar b Elliott,15,21,2,0,71.42,21
Brad Hodge,b Mohammad Nawaz,0,1,0,0,0.00,21
Jonny Bairstow,b Elliott,15,16,1,0,93.75,21
Daren Sammy,c McCullum b Mohammad Nawaz,38,29,5,1,131.03,21
Shahid Afridi (c),c Mohammad Nawaz b Elliott,2,4,0,0,50.00,21
Wahab Riaz,c Ahmed Shehzad b Aizaz Cheema,22,16,3,0,137.50,21
Hasan Ali,c & b Aizaz Cheema,5,3,1,0,166.66,21
Mohammad Asghar,not out,1,1,0,0,100.00,21
Shaun Tait,not out,0,0,0,0,-,21
Lendl Simmons,c & b Russell,19,18,3,1,105.55,22
Riki Wessels †,b Mohammad Sami,1,5,0,0,20.00,22
Iftikhar Ahmed,c Russell b Badree,8,14,1,0,57.14,22
